Message,Prediction,Topic
"
Nntp-Posting-Host: facman

Ideas for the relief of sciatica. Please respond to my E-mail
",E,M
"
Message-ID: <1r9j33$4g8@hsdndev.harvard.edu>
References: <1993Apr22.153000.1@vms.ocom.okstate.edu>
NNTP-Posting-Host: enterprise.bih.harvard.edu

In article <1993Apr22.153000.1@vms.ocom.okstate.edu>
 banschbach@vms.ocom.okstate.edu writes:
>poster for being treated by a liscenced physician for a disease that did 
>not exist.  Calling this physician a quack was reprehensible Steve and I 
>see that you and some of the others are doing it here as well.  

Do you believe that any quacks exist?  How about quack diagnoses?  Is
being a ""licensed physician"" enough to guarantee that someone is not
a quack, or is it just that even if a licensed physician is a quack,
other people shouldn't say so?  Can you give an example of a
commonly diagnosed ailment that you think is a quack diagnosis,
or have we gotten to the point in civilization where we no longer
need to worry about unscrupulous ""healers"" taking advantage of
people.
-- 
David Rind
rind@enterprise.bih.harvard.edu
",M,M
"

In article <ASHWIN.93May1225032@leo.gatech.edu> ashwin@cc.gatech.edu (Ashwin Ram) writes:
>Does the ""Thermoscan"" instrument really work?  It is supposed to give you a
>fast and accurate temperature reading in the ear.  How far in the ear does
>one have to insert the instrument?  Is it worth the $100 it is currently
>selling for?

No, they do not work well.  My doctor started using one recently, and I
thought the concept was so amazing that I bought one too.  

The thing works by reading the infrared emissions from the ear drum.
The ear drum is hotter than the ear canal walls, so you have to point
the thing very carefully.  This means tugging on the top of the ear
to straighten out the ear canal, then inserting the thing snugly, then
pushing a button.  Unfortunately, there are many things that can go wrong.
It is almost impossible to aim the thing correctly when you do it on 
yourself.  I get readings which differ from each other by up to 2 degrees,
and may differ from an oral thermometer by up to 2 degrees.  

I talked to one of the nurses in my doctor's office recently about this,
and she said she didn't like them either, for same reasons.  She did give
me some instruction on how to tug on my ear, and what correct insertion
feels like, but she said she thought it was impossible to do correctly
on one's self.  She also said that she and other nurses had complained to
the company about inaccurate readings, and that someone from the company
had told them to take great care to clean the infrared window at the end
of the probe with alcohol from time to time.  She demonstrated this prior
to reading my temperature, and managed to get a reading within 0.5 degree
of the oral temperature I took at home before driving to the Dr's office.

I have also noticed tha some nurses click the button, then remove the
probe immediately.  This causes wrong readings.  In my experience, you
have to leave the probe in a good 1 to 2 seconds after clicking the button
to get a good measurement.  The nurse I talked with agreed.  I suspect
that many people don't realize this, and therefore get bad readings for
yet another reason.

In short, it's a great idea.  It may work for some folks, but I believe
it doesn't work well for a person who wants to take his own temperature.

",E,M
"
Message-ID: <1qrlea$jk6@usenet.INS.CWRU.Edu>
References: <Yfnutuy00WB=02e1hU@andrew.cmu.edu> <nagleC5n17r.3Fn@netcom.com> <C5nJqL.42F@panix.com>
Reply-To: wb8foz@skybridge.scl.cwru.edu (David Lesher)
NNTP-Posting-Host: skybridge.scl.cwru.edu

Others said:
# >       Actually, fossil fuel plants run hotter than the usual 
# >boiling-water reactor nuclear plants.  (There's a gripe in the industry
# >that nuclear power uses 1900 vintage steam technology).  So it's
# >more important in nuclear plants to get the cold end of the system
# >as cold as possible.  Hence big cooling towers.  

When the utility gave up on that Cinnci, OH plant (Zimmer?) and
announced they were going to convert it to a coal-fired scheme, the
turbines were already in place, and they were the low-temp type. So the
plan was: Install a SECOND set of high temp turbines, and feed the
low-temp ones with the output of the new ones.

Never saw anything more on this. Did they ever really build it?
--
A host is a host from coast to coast..wb8foz@skybridge.scl.cwru.edu
& no one will talk to a host that's close............(301) 56-LINUX
Unless the host (that isn't close).........................pob 1433
is busy, hung or dead....................................20915-1433
",E,E
"

In NZ apparently things like aftershave are also giving positive
readings

",E,E
"
X-Newsreader: TIN [version 1.1.4 PL6]

william burchill (williamb@ee.ubc.ca) wrote:
: 	Does anybody out there know how the hand held breathalyzer used
: by our police works?  I would like to hear about this and the more
: general problem of detecting smells by machine.
: 
: Thanks, William.
: 
: williamb@ee.ubc.ca
: 

From what I have read about these little gadgets, it works on
a electrochemical galvanic principle. The sensing unit has a
chemical matrix which produces an electrical voltage proportional
to the amount of chemical compound it is designed for ... in this case
I believe it is the Hydroxyl group???  

I have also heard -  not tested :-)  - since common gasoline is also
a member of this Hydroxyl group, it will also cause a failing breathalizer
failure! Next time you get stopped for DUI, say you just siphoned gas from
your neighbors car (you know..... the Oklahoma credit card) and chances
are you won't get a DUI ticket!!!!


 
Jerry Long

long@spk.hp.com
****************************************
Disclaimer.... Opinions are my own and
do NOT reflect those of my employer.  
**************************************** 
",E,E
"

>Could some kind soul post me the max power/voltage/current ratings of
>2SC1096 and 2SA634 transistors, their conductance types and pinouts.
>They are used in the sweep portion of a TV set.

2SC1096
  Maximum Ratings:
    VCBO = 40V
    VCEO = 30V
    IC   = 3A
    PC   = 10W (T=25C)

  ICBO max = 1uA
  VCB = 30V
  COB = 55pF

  at Q-point VCE=5, IC=1A --> hfe = 100

2SA634
  Maximum Ratings:
    VCBO = -40V
    VCEO = -30V
    IC   = -3A
    PC   = 10W (T=25C)

  ICBO max = -1uA
  VCB = -30V
  COB = 75pF

  at Q-point VCE = -5V, IC = -1A --> hfe = 100

That's all i can get from my data book, hope that helps.

suwanto@iastate.edu

    
",E,E
"

Does anybody know anything about the chips D6275A/D6235A/D6205A chips from
DSP Telecommunications Inc?

I'd greatly appreciate information about price, pinouts and peripherals.

Regards,

  Henrik Bohre

  @>-+--
",E,E
"

<lots of pretty good stuff about how the huge towers near most nuclear
power plants are there to cool the used steam back into near ambient
temperature water deleted>

>>water.  As I recall the water isn't as hot (thermodynamically) in many
>>fossil fuel plants, and of course there is less danger of radioactive
>>contamination.

>       Actually, fossil fuel plants run hotter than the usual 
>boiling-water reactor nuclear plants.  (There's a gripe in the industry
>that nuclear power uses 1900 vintage steam technology).  So it's
>more important in nuclear plants to get the cold end of the system
>as cold as possible.  Hence big cooling towers.  

    as a point of info, some of the early nuclear power plants in this
country used the fission pile as a first stage to get the water hot, and
then had a second stage -fossil fuel- step to get the water (actually
steam) VERY HOT.

   I remember seeing this at Con Edison's Indian Point #1 power plant,
which is about 30 miles north of NYC, and built more or less 1958.


dannyb@panix.com

(all the usual disclaimers apply, whatever they may be)

",E,E
"

rubin@cis.ohio-state.edu (Daniel J Rubin) writes:
>How hard would it be to somehow interface them to some of the popular 
>Motorola microcontrollers.

Not hard, you can do the refreshing and access cycles by software, but
this hogs most of the available CPU cycles on a low-end controller.
I've seen some application note from Philips that used one of their
8051 derivatives as a printer buffer, with up to 1MB of dynamic ram
that was accessed and refreshed with software bit-banging.

Another alternative would be to use one of those nice DRAM controller
chips that ""create static RAM appearance"" and all that, but they may
be too expensive to make it worthwhile.
--
Segmented Memory Helps Structure Software
",E,E
"

donrm@sr.hp.com (Don Montgomery) writes:


>Radio Shack has canceled their ""Battery of the Month"" Club.  Does 
>anyone know why?  

>They say they'll honor existing cards in customer hands, but no new
>cards will be issued.

I was told that this is an environmental based move.  I was also told that
there will be 'somthing' else to replace the battery club.  Like maybe
the 360K floppy club ;-).

We'll see ....
-- 
*-----------------------------------------------------------------------*
*	Bill Quinn			billq@ms.uky.edu		*
*-----------------------------------------------------------------------*
",E,E
"
Message-ID: <1qnrpqINN1k7@senator-bedfellow.MIT.EDU>
References: <1993Apr16.142715.12613@sol.ctr.columbia.edu>
NNTP-Posting-Host: ampere.mit.edu

In article <1993Apr16.142715.12613@sol.ctr.columbia.edu> seema@madvlsi.columbia.edu (Seema Varma) writes:
>Getting a custom-made package is too expensive, so
>I am trying to choose between a flatpak and a
>leadless chip carrier. The flatpack would be hard
>to test since it has to be soldered on to the test
>setup and I would spend loads of time soldering 
>as I kept changing the test chip. The leadless chip
>carrier sockets also have long lead lines and may
>not work at high speeds.
> 
>	Does anyone out there have experience/knowledge
>of this field ? I would greatly appreciate help! Any ideas/
>names of companies manufacturing holders/sockets/packages
>would help. 

Check with Kyocera America, Inc.
           24 Prime Park Way, Suite 150
           Natick, MA 01760

They are one of the largest manufacturers of IC packaging in the
world.

It sounds like you would be a good candidate for wafer probing or at
least IC probing to test performance.  HP, Cascade Microtech and
Tektronix should be able to help you here.  One note, testing at high
frequency accurately can be an *expensive* business.

-- 
Andrew Karanicolas
MIT Microsystems Technology Laboratory
ankleand@mtl.mit.edu
",E,E
"

> >I have been taking prednisone 5mg twice a day for a while to control
> >Ulcerative Colitis. It seems like if I reduce the dosage, the problem
> >becomes worse. At this point, i see myself taking prednisone for a long
> >long time, perhaps for ever. I was wondering about long term major side
> >effects, things like potential birth defects, arthritis etc. I have been
> >putting on weight, my face looks puffed and round, experience sudden mood
> >swings. As I understand, these are all short term.

I second what Spenser Aden said in reply.  Additionally, it is hard to say
what type of response you ar3e having to prednisone since you did not say
how long you have been on it.  Patients are generally kept on steroids for
months before thinking about tapering.  Alternatives to daily dosing are 
every other day dosing, in your case 20mg every other day would be a start.
Another option if it is not possible to get you off prednisone is to start
azathioprine.  Like Spenser said, you should generally be on another drug
in addition to your prednisone, like asulfidine.  A lot of the specifics
about options, though, depends on severity, location, and duration of 
disease, as well as histology, so take advice off the net for what it
is worth.  

I treat patients with UC and Crohn's.  An educated patient is a good 
patient, but let your doctor know where the advice came from so things
can be put in context.  You should also be a member of the Crohn's and
Colitis Foundation of America.  1-800-932-2423 office / 1-800-343-3637
info hotline.

Best of Luck to you.

Steve Holland.
gila005@uabdpo.dpo.uab.edu
",M,M
"

In article <1qlg9o$d7q@sequoia.ccsd.uts.EDU.AU>  writes:
> 
> 
> I really don't know where to post this question so I figured that
> this board would be most appropriate.
> I was wondering about those massive concrete cylinders that
> are ever present at nuclear poer sites. They look like cylinders
> that have been pinched in the middle. Does anybody know what the
> actual purpose of those things are?. I hear that they're called
> 'Cooling Towers' but what the heck do they cool?
> I hope someone can help 
> 

This is definitely the wrong newsgroup for this, but never mind.
Any machine powered by heat (motor, steam- or gasturbine, steamengine,  
thermoelement,etc) work the better, the bigger the temperature difference  
between input and output is. Because You never get all thermic energy out of  
the powering medium (steam, burning gaz, etc), You have to eliminate the rest  
of the energy to keep the efficency high. A thermal electric power plant (coal,  
oil or atomic power) works just the same way. You heat water (steam) to power  
the turbine and generators. Because You don't get the whole energy out of the  
steam (efficency is never 100%) You have to cool down this steam again by  
something else. Most power plants use cooling towers for this purpose (some  
type of mega-refrigerator...). Others use water of a river (ecologically not  
unobjectionable). Got it ?

Cheers   Robert  (HB9NBY)
--
Robert Ganter			/------------\
Universitaet Basel		| I am a fan |
Institut fuer Informatik	| of my plan |
Basel/Switzerland		\------------/
ganter@ifi.unibas.ch
amateurradio: HB9NBY	packet: HB9NBY@HB9EAS.CHE.EU
",E,E
"

Anyone know a reasonable circuit for programming PALs?  I am interested
in programming a wide range of EPLDs but would be happy with something 
that could handle a 22V10 or thereabouts.

Thanks in advance,
--Tim

---
{{{{{{{{{{{{{{{{{{{{{ timd@fenian.dell.com }}}}}}}}}}}}}}}}}}}}}}}}}}}}
             Rev. Tim Deagan - Official Obnoxious Poster
No one but me is responsible for anything I write, believe in or preach
* ""It is difficult to free fools from chains they revere."" - Voltaire *

",E,E
"

I would like to modulate a 40KHz squarewave over rf. This is for a rf
remote control project. The squarewave has a high of 5 v and low of 0v.

thanks.

tron
-- 
        T
  T     T
  T  T  T
  T  T  T
",E,E
"

LLBGB@utxdp.dp.utexas.edu writes:
>Initial symptoms:
>-no picture or sound
>-CRT filament does NOT glow
>-flyback ticking as described abovew

>Discovered when hooked up the scope:
>-IF strip is not putting out audio or video signals
>-everything is making simple 20-30 Hz pulses
>-horiz out transistor collector (case of the TO-3) is a 20-30 Hz downgoing
>  sawtooth with ca. 15kHz ring at front end

>guys, WHAT""S GOING ON HERE?  Anyone seen this before?

What is happening is this:
1) You turn the TV on.
2) The horizontal output begins normal operation.  This powers up the
   high voltage and most of the rest of the circuitry.
3) A problem is sensed and the horizontal oscillator shuts down.
4) After it powers down the cycle repeats.

Things to check:
First check for a shorted high power component.  Your best bet is the vertical
output transistor(s) or, if there is one, the voltage regulator.  The most
common cause of this type of failure is too much current being drawn
somewhere.
Also look for shutdown circuits (which your TV may or may not have),
if you can find one that is shutting down the horizontal oscillator
then it shouldn't be too hard to find the problem from there.

",E,E
"


Hi.  Does anyone know the possible causes of nasoparynx carcenoma
and what are the chances of it being hereditary?

Also, in the advacned cases, what is the general procedure to 
reduce the pain the area as it prevents the patient from eating
due to the excessive pain of swallowing and even talking?

Thanks.

-F.
.


",M,M
"


In article <1993Apr19.215342.16930@sco.com> evanh@sco.COM (Evan Hunt) writes:
 
>In article <1993Apr13.201942.26058@iscnvx.lmsc.lockheed.com> sharen@iscnvx.lmsc.lockheed.com (Sharen A. Rund) writes:
 
>>restaurants advertize ""No MSG"") - many restaurants that feature salad
>>bars use MSG to ""keep"" the veggies looking fresh longer, also, a number
 
>This brings up an important question for me - could pre-made salads, the
>kind sold in supermarkets, have MSG added without mentioning it? Legally,
>I mean - anyone know what the law is in this area?


Steve Dyer points out that Sharen was probably thinking of Sulfites. But
the question still stands.
-- 
Evan Hunt, Asst. Editor, THE WEB
For more information about THE WEB, e-mail to evanh@sco.COM.
",M,M
"
Distribution: world
Message-ID: <YfkEr1O00YUnNIPnx4@andrew.cmu.edu>
NNTP-Posting-Host: po4.andrew.cmu.edu
In-Reply-To: <1pqk9b$ib4@sunb.ocs.mq.edu.au>

Sounds like a job for a universal time reciever.  I don't know the
logisitics of the situation, but if you could just place a reciever in
snow and place the oscillator in a nice lab somewhere else, your
problems should be solved.
Just a suggestion.

Wayne Martin
",E,E
"


I was having a look through a couple of components catalogues when I
came across a range of Peltier Effect heat pumps intended for cooling
components.  For those who have not heard of this effect, you put a
current through one of these devices, and it pumps heat from one side
to the other.  Reverse the current and you reverse the effect.  I
think a temperature difference can give you an EMF as well.

Anyway, it struck me that you could make a nice cool/hot box for
picnics with one of these, a power regulator, a thermostat and a
couple of heat sinks.  The biggest device can shift 60W with an
efficiency of 80-90%, which ain't bad (although it would flatten my
car battery in about half an hour).

Unfortunately the catalogue didn't list anything more than the basic
specs as a heat pump.  I imagine that you would get a back-EMF as the
temperature gradient across the device increases.  If so, presumably
its power decreases as the back-EMF increases, until eventually we
have a steady state with no current being consumed (assuming no
leakage).  If so, then the final temperature difference between the
two sides could be set by the supply voltage and nothing more
(although that would be a lousy way to control it).

What I would like to know is:

1: Are the above guesses correct?

2: What is the open-circuit thermal resistance of a typical device?
   (I just want to be sure that my coolbox is not going to get warm
   too fast when I unplug it)

3: How does a Peltier Effect heat pump actually work?  It looks like
   magic!

4: Why don't they use these things in domestic fridges/freezers?


Thanks in advance,

Paul.

Paul Johnson (paj@gec-mrc.co.uk).	    | Tel: +44 245 73331 ext 3245
--------------------------------------------+----------------------------------
These ideas and others like them can be had | GEC-Marconi Research is not
for $0.02 each from any reputable idealist. | responsible for my opinions
",E,E
"
Distribution: usa
Message-ID: <1rqa9qINNjet@dns1.NMSU.Edu>
References: <7722@otc.otca.oz>
NNTP-Posting-Host: dante.nmsu.edu

I have several isolation amplifier boards that are the ideal interface
for EEG and ECG.  Isolation is essential for safety when connecting
line-powered equipment to electrodes on the body.  These boards
incorporate the Burr-Brown 3656 isolation module that currently sells
for $133, plus other op amps to produce an overall voltage gain of
350-400.  They are like new and guaranteed good.  $20 postpaid,
schematic included.  Please email me for more data.

--Ken Carver
",E,M
"

In article <136390006@hpcuhe.cup.hp.com>, pi@hpcuhe.cup.hp.com (Paul Ilgenfritz) writes:
> 
> I think the Go Video dual cassette machines do a direct tape to tape copy
> which transfers Macrovision to the copy.  I you can find one of these, it
> would be worth a try.

Go-Video machines used in HQ2 mode will copy even the MacroVision.
Go-Video phone number (602)998-3400. 

Ask for sales department. Since the state of Arizona does not go on 
Daylight Savings time, we effectively are in Pacific time zone.

Allen Sullivan
Designing various stuff for GO-Video
",E,E
"

You can get a *little* UV by putting a heavy UV filter (deep purple) in
front of an ordinary flashlight bulb (the brightest you can get).
My father used a setup like this in law enforcement work circa 1964.

Good UV (""blacklight"") bulbs work like fluorescent bulbs.  I'd proceed by
getting a cheap battery-powered _fluorescent_ light, then going to an
electrical supply house and finding a UV bulb that would fit it.

-- 
:-  Michael A. Covington, Associate Research Scientist        :    *****
:-  Artificial Intelligence Programs      mcovingt@ai.uga.edu :  *********
:-  The University of Georgia              phone 706 542-0358 :   *  *  *
:-  Athens, Georgia 30602-7415 U.S.A.     amateur radio N4TMI :  ** *** **  <><
",E,E
"

A friend of mine is going in later this week for tests to see if has
emphysema.  His lung capacity has decreased over time.  His father died
of the disease.  He works in woodworking.  I believe he has a very
occasional cigarette, perhaps one cigarette a day or even less.  He tells
me this..I've never seen him light up.  He has some pretty healthy
life style habits, good diet, exercise, meditation, retreats, therapy
etc.  Anyhow..he is very concerned with this check up.  I know really
nothing about the disease.  I believe it interferes with the lining
of the lung being able to exchange oxygen.  

Is a diagnosis of emphysema a death sentence?  If he were to give up smoking
entirely would that better his chances for recovery?  What are some 
modern therapies used in people with this disease?  I would appreciate 
any information.  Thanks.  amigan@cup.portal.com
",M,M
"
Message-ID: <1qs0qi$9ll@usenet.INS.CWRU.Edu>
NNTP-Posting-Host: slc10.ins.cwru.edu


I recently bought an apparantly complete Expansion Chassis by Mountain
Computer Inc.  It consists of a box with 8 Apple ][+ compatible slots,
powersupply brick, interface card and ribbon cable to attach it to the computer
to be expanded.  There was also included a small card with empty sockets on top
and pins on the bottom that looks like it would plug into the ][+ motherboard
somewhere after pulling a chip.  There's an empty socket also on the interface
card and a short 16-pin DIP jumper like the ones used with ][+ language cards.
 
This technological marvel came with no docs and I haven't a clue as how to hook
this thing up.  If anyone has docs and/or users disk of any sort for this I
could really use copies of them or at least some help.
 
I need to know:
 
o How to orient the ribbon cable between the card and the chassis.
o How to attach the short cable from the motherboard to the card
  and if the small card is used.
o The purposes of the various jumper-pins on the card (it has more
  of those than my CMS SCSI card!)
 
 
thanks                                          John Daniels
                                                ah499@cleveland.freenet.edu
 
",E,E
"
Message-ID: <1qmus2INNmi7@im4u.cs.utexas.edu>
NNTP-Posting-Host: im4u.cs.utexas.edu
Keywords: MITI

I have a thermal fuse from a Apple Laserwriter II power supply (Made
by Cannon) that I need to replace.  The fuse is not the standard
tubular thermal fuse like those found in hair driers etc, but is a 
rectangular plastic package, much like a transistor or diode.  It
is about 0.2""x0.2""x0.1"", with both leads coming out of one of the
0.1""x0.1"" sides.  I have been told that it was made by MITI, a asian
company, but I can find no information as to a supplier.  This fuse
is rated at 1A, 130C.  Does anyone have a source for this fuse?  I
only need 5 or so, which means that the manufacturer wouldn't even want
to talk to me, let alone, deal with me.

Please advise via E-mail.

Thanks,
Pat

-- 
---  I like boats and bicycles, they're healthier than Valium  ---
Pat Horne, Network Manager, Shop Supervisor, Hardware Guru 
CS Dept, University of Texas, Austin, Tx. 78712 USA 
voice (512)471-9517, fax (512)471-8885, UUCP:cs.utexas.edu!horne
",E,E
"
Nntp-Posting-Host: tw100.eng.cam.ac.uk

lancer@oconnor.WPI.EDU (Stephe Lewis Foskett) writes:


>I'm doing sound for a couple of bands around here and we need Direct
>Input boxes for the keyboards.  These are the little boxes that take a
>line level out of the keyboard and transform it into low-Z for the run
>to the mixer.  Sadly they cost like $50 (or more) each and I'm going

This is indeed one function, but more sophisticated ones do level control
and ground-lift (separating the keyboard and mixer earths) aswell.

>to need like 5 or 10 of them!  I looked inside one (belonging to
>another band) and it looks like just a transformer.  Does anyone have

Simple ones are just that - a transformer. A decent quality audio trans-
former will cost most of that $50. They are wired thus...


       HOT   --------------|  |----------------- HOT
                           )||(
     Input from            )||(                Balanced out to mixer
     Keyboard              )||(
                           |  |----------------- COLD
                           |
       GND   --------------|-------------------- GND

The ground-lift switch disconnects the GND line from the mixer. The
transformer ratio depends on the precise application, but around 10:1
turns ratio may be a good place to start.

Christopher
--
 ==============================================================================
  Christopher Hicks    |      Paradise is a Linear Gaussian World
  cmh@uk.ac.cam.eng    |    (also reported to taste hot and sweaty)
 ==============================================================================
",E,E
"

 From: romdas@uclink.berkeley.edu (Ella I Baff) writes:

JB>    RR> ""I don't doubt that the placebo effect is alive and well with
JB>    RR>  EVERY medical modality - estimated by some to be around 20+%,
JB>    RR>  but why would it be higher with alternative versus conventional
JB>    RR>  medicine?""
JB>  
JB>  Because most the the time, closer to 90% in my experience, there is no
JB>  substance to the 'alternative' intervention beyond the good intentions of the
JB>  practitioner, which in itself is quite therapeutic. [.......]
JB>
JB>  John Badanes, DC, CA
JB>  romdas@uclink.berkeley.edu

   Well, if that's the case in YOUR practice, I have a hard time 
   figuring out how you even managed to make it into the bottom half
   of your class, or did you create your diplomas with crayons?
 
   If someone runs a medical practice with only a 10% success rate,
   they either tackle problems for which they are not qualified to
   treat, or they have no conscience and are only in business for
   fraudulent purposes.

   OTOH, who are we kidding, the New England Medical Journal in 1984
   ran the heading: ""Ninety Percent of Diseases are not Treatable by
   Drugs or Surgery,"" which has been echoed by several other reports.
   No wonder MDs are not amused with alternative medicine, since
   the 20% magic of the ""placebo effect"" would award alternative 
   practitioners twice the success rate of conventional medicine...

   --Ron--
---
   RoseReader 2.00  P003228: Purranoia: the fear your cat is up to something
   RoseMail 2.10 : Usenet: Rose Media - Hamilton (416) 575-5363
",M,M
"
X-Newsreader: TIN [version 1.1 PL9]

Gordon Banks (geb@cs.pitt.edu) wrote:
: In article <1993Apr12.201056.20753@ns1.cc.lehigh.edu> mcg2@ns1.cc.lehigh.edu (
Marc Gabriel) writes:

: >Now, I'm not saying that culturing is the best way to diagnose; it's very
: >hard to culture Bb in most cases.  The point is that Dr. N has developed a
: >""feel"" for what is and what isn't LD.  This comes from years of experience.
: >No serology can match that.  Unfortunately, some would call Dr. N a ""quack""
: >and accuse him of trying to make a quick buck.
: >
: Why do you think he would be called a quack?  The quacks don't do cultures.
: They poo-poo doing more lab tests:  ""this is Lyme, believe me, I've
: seen it many times.  The lab tests aren't accurate.  We'll treat it
: now.""  Also, is Dr. N's practice almost exclusively devoted to treating
: Lyme patients?  I don't know *any* orthopedic surgeons who fit this
: pattern.  They are usually GPs.

No, he does not exclusively treat LD patients.  However, in some parts of the
country, you don't need to be known as an LD ""specialist"" to see a large
number of LD patients walk through your office.  Given the huge problem of
underdiagnosis, orthopedists encounter late manifestations of the disease just
about every day in their regular practices.  Dr. N. told me that last year,
he sent between 2 and 5 patients a week to the LD specialists... and he is not
the only orthopedists in the town.

Let's say that only 2 people per week actually have LD.  That means at the
*very minimum* 104 people in our town (and immediate area) develop late stage
manifestations of LD *every year*.  Add in the folks who were diagnosed by
neurologists, rheumatologists, GPs, etc, and you can see what kind of problem
we have.  No wonder just about everybody in town personally knows an LD
patient.

He refers most patients to LD specialists, but in extreme cases he puts the
patient on medication immediately to minimize the damage (in most cases, to
the knees).

Gordon is correct when he states that most LD specialists are GPs.

-Marc.
-- 
--
---------------------------------------------------------------------
              Marc C. Gabriel        -  U.C. Box 545  -
              (215) 882-0138         Lehigh University
",M,M
"

Here's a question for all you electrical engineers out there:

  I bought an 'Infrared detector module' at Radio Shack for $3.95 - it is a 
little gizmo that senses infrared remotes and produces an output signal. Then
I hooked the output through a transistor to an infrared LED. The circuit works
like a minature remote control extender in my car - All remote commands are
relayed to the CD player hidden in the glove compartment. It works fine with
my Denon CD player, but when I tried to build the same circuit for a friend's
VCR, it didn't work.
  The circuit appears to work for other remotes (you can see infrared with a
Sony CCD camcorder) but coincidentally it only seems to work for my CD
player...

	Any advice would be appreciated....
        Brian

---
UBSILER @ MSUVX1.MEMST.EDU

",E,E
"


   Hi All!

   I would like to know what are the popular ICs of the type, their capabilities
(# of channels et.c.) and prices :-)

   Great thanks,

 Andrew.
",E,E
"

Does anyone know of research done on the use of haldol in the elderly?  Does 
short-term use of the drug ever produce long-term side-effects after
the use of the drug?  My grandmother recently had to be hospitalized
and was given large doses of haldol for several weeks.  Although the
drug has been terminated, she has changed from a perky, slightly
senile woman into a virtual vegetable who does not talk to anyone
and who cannot even eat or brush her teeth without assistance.  It
seems incredible to me that such changes could take place in the
course of just one and one-half months.  I have to believe that the
combination of the hospital stay and some drug(s) are in part
catalysts for this.  Any comments?

-- 
Will Estes		Internet: westes@netcom.com
",M,M
"

In article <C52DsD.7pB@compsci.liverpool.ac.uk> scst83@csc.liv.ac.uk (Chris Smith) writes:

> I'm looking to build a DSP for guitar processing. Hence lots of background
> information would be really useful !
> 
> If anyone's got any info, could they email.....

Well, I'm not sure I'd use this to process a guitar but there was a audio
filter DSP construction article in the Sept 92 issue of QST magazine (Ham Radio
oriented).  The DSP is available in kit form for about $120.

This particular DSP filter was targetted toward processing audio to remove
noise (static).  I built it and it really works well.  The source code is
available too.  It makes a noisy audio signal much easier to hear.  Note that
this is for communication applications and is not ""high fidelity"".



--
- - - - - - - - - - - - - - - - - - + - - - - - - - - - - - - - - - - - +
Mike Linnig, Texas Instruments Inc. | 97.43% of all statistics are made |
Phone: (214) 575-3597  CALL: N5QAW  | up; most of them (83.6 percent)   |
Internet: mike.linnig@dseg.ti.com   | are wrong.                        |
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

",E,E
"

In article <7480220@hpfcso.FC.HP.COM>, myers@hpfcso.FC.HP.COM (Bob Myers) writes:
|> > Nope.  The dag is on the outside of the tube, and is grounded.  The inside
|> > aluminization *is* the second anode, and is connected to the 'anode'
|> > suction cup.  This (with the glass of the tube in between) is a capacitor,
|> > and is used as the power supply bypass/filter for the HV supply.  Some
|> > smaller scope tubes don't have an aquadag coating on the outside.  If they
|> > are in mu-metal shields, you still have a capacitor.
|> 
|> Actually (and I think I said this in the original, but perhaps wasn't clear
|> enough) there is usually both an internal AND an external dag.  Of the two,
|> the internal dag is the more important; the aluminization of the back of the
|> phosphor is in most cases not adequate to guarantee connection to the anode
|> ""button"" (and in the case where the gun assembly includes an accelerating
|> electrode at anode potential, most definitely does not provide THAT 
|> connection).

Bob is indeed correct here in more than one way. A look in the old
RCA picture tube manual backs this up, as does SAMS Reference Data
handbook. The internal coating around the perimeter of the CRT
(not the aluminum or tin CRT face coating) is referred to as a
""dag"" as well as the outer coating.

Thankfully, I didn't need to go to a f****** library to find it, either.
One sparkling water for Mr. Vanderbyl (no caffeine in that, is there).

-- 
--------------------------------------------------------------------
       Dave Medin			Phone:	(205) 730-3169 (w)
    SSD--Networking				(205) 837-1174 (h)
    Intergraph Corp.
       M/S GD3004 		Internet: dtmedin@catbyte.b30.ingr.com
  Huntsville, AL 35894		UUCP:  ...uunet!ingr!b30!catbyte!dtmedin

   ******* Everywhere You Look (at least around my office) *******

 * The opinions expressed here are mine (or those of my machine)
",E,E
